ID,source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,G,G_error,BP,BP_error,RP,RP_error,RAJ2000,RAJ2000_error,DEJ2000,DEJ2000_error,ID,probability
136773,1190656,287.82920006288,-21.68626385359,3.607,0.0788000002503395,-0.561999976634979,0.131999999284744,-27.5559997558594,0.105999998748302,-0.422199994325638,0.0754000023007393,0.0725999996066093,9.92870044708252,0.000300000014249235,10.2544002532959,0.0013,9.46710014343262,0.000699999975040555,287.829202669,2.05369997024536,-21.6861452103,1.64139997959137,136773,0.990233256647536
314388,24237568,285.33758555129,-21.09715415079,3.3866,0.145400002598763,-0.859000027179718,0.195999994874001,-26.9680004119873,0.165000006556511,-0.486799985170364,0.305000007152557,0.0529000014066696,17.1662998199463,0.00120000005699694,18.6215000152588,0.0264,15.9545001983643,0.00340000004507601,285.337589517,3.03730010986328,-21.0970380369,2.56389999389648,314388,0.991974106386578
474144,13908480,287.83052835795,-20.88051469013,3.4481,0.0421000011265278,-0.493999987840652,0.194000005722046,-27.6660003662109,0.118000000715256,0.389899998903275,-0.433699995279312,-0.857599973678589,13.5577001571655,0.00219999998807907,NA,NA,NA,NA,287.830530634,3.00819993019104,-20.880395572,1.82790005207062,474144,0.760368999890574
474145,13908224,287.83038667246,-20.88102353849,3.4683,0.0340999998152256,-0.839999973773956,0.0689999982714653,-25.5209999084473,0.0599999986588955,-0.0922999978065491,0.0190999992191792,0.129999995231628,11.3444004058838,0.00039999998989515,11.6765003204346,0.0015,10.8052997589111,0.00999999977648258,287.830390545,1.06819999217987,-20.880913655,0.937600016593933,474145,0.795681477898164
530492,6598784,287.86152774863,-20.45598620987,3.3749,0.135800004005432,0.321000009775162,0.212999999523163,-27.8929996490479,0.194999992847443,-0.36719998717308,0.179299995303154,0.282599985599518,17.4596996307373,0.00150000001303852,18.8791007995605,0.0307,16.2681007385254,0.00389999989420176,287.861526273,3.30960011482239,-20.4558661138,3.03169989585876,530492,0.813709404185133
539782,7168,287.26889281142,-20.41060878051,3.3561,0.0483999997377396,1.32599997520447,0.0799999982118607,-27.8640003204346,0.0670000016689301,-0.159199997782707,0.0658999979496002,0.00980000011622906,11.4679002761841,0.00039999998989515,11.8465003967285,0.0021,10.9411001205444,0.0007999999797903,287.268886721,1.23959994316101,-20.4104888094,1.04359996318817,539782,0.944365726378028
739386,17936640,287.10719799759,-20.02681259809,3.1581,0.184799998998642,-1.76199996471405,0.328000009059906,-26.4780006408691,0.27700001001358,-0.416900008916855,0.0710000023245811,0.187700003385544,16.160400390625,0.00109999999403954,17.2731990814209,0.0122,15.0727996826172,0.00499999988824129,287.107206074,5.08650016784668,-20.0266985971,4.29640007019043,739386,0.980723993540862
752083,8915584,286.60056595141,-20.21837691567,3.3575,0.140699997544289,-0.867999970912933,0.155000001192093,-25.1569995880127,0.126000002026558,-0.0445000007748604,-0.110600002110004,-0.0184000004082918,16.1485004425049,0.0019000000320375,17.1923007965088,0.0137,15.0008001327515,0.0109999999403954,286.600569936,2.40079998970032,-20.2182686027,1.95640003681183,752083,0.842998624702687
1211615,213504,291.77034522326,-19.95450227017,2.9168,0.485100001096725,-2.56800007820129,1.13800001144409,-29.6760005950928,0.851999998092651,-0.00559999980032444,-0.091899998486042,-0.165999993681908,19.2248992919922,0.00460000010207295,19.154899597168,0.0601,18.9293003082275,0.0566999986767769,291.770356986,17.6403999328613,-19.9543744994,13.2181997299194,1211615,0.884231563274958
1407037,11392,291.37245533866,-18.58365442942,3.4696,0.0456999987363815,-2.22000002861023,0.0839999988675117,-27.0330009460449,0.0700000002980232,-0.289499998092651,0.0873000025749207,0.00130000000353903,10.9381999969482,0.000300000014249235,11.2435998916626,0.0032,10.4952001571655,0.00150000001303852,291.372465424,1.3043999671936,-18.5835380356,1.08299994468689,1407037,0.991933459090501
1669801,4986880,287.23608970774,-19.72529894208,3.0587,0.0236000008881092,-0.456000000238419,0.0379999987781048,-26.0849990844727,0.0350000001490116,-0.305400013923645,0.132799997925758,0.23199999332428,13.4559001922607,0.000500000023748726,13.9989004135132,0.0021,12.777099609375,0.00179999996908009,287.236091792,0.594799995422363,-19.7251866303,0.537899971008301,1669801,0.995716349521187
1680611,4978688,287.32996009679,-19.52067503346,3.4863,0.058899998664856,0.31700000166893,0.0879999995231628,-26.2070007324219,0.0719999969005585,-0.396600008010864,0.236200004816055,0.0181000009179115,12.355899810791,0.000300000014249235,12.7625999450684,0.0022,11.8021001815796,0.00109999999403954,287.32995865,1.3639999628067,-19.5205621964,1.11989998817444,1680611,0.971162459951681
1758495,2366080,288.71969483517,-19.01751180486,3.1876,0.206200003623962,-1.34099996089935,0.646000027656555,-26.0349998474121,0.416000008583069,0.637199997901917,-0.583000004291534,-0.681999981403351,16.5848999023438,0.00139999995008111,17.9650993347168,0.014,15.4231996536255,0.00469999993219972,288.719700942,10.0200004577637,-19.0173997077,6.44980001449585,1758495,0.989038815822841
1772993,16305152,288.4351639818,-18.82651111331,3.4497,0.118600003421307,0.212999999523163,0.296999990940094,-27.3139991760254,0.187999993562698,0.754700005054474,-0.729200005531311,-0.815900027751923,15.9875001907349,0.000899999984540045,17.0312004089355,0.0071,14.9154996871948,0.00230000005103648,288.435163011,4.6100001335144,-18.8263935101,2.91810011863708,1772993,0.905532028624113
