SOURCE_ID,RA,DEC,pmRA,pmDE,e_pmRA,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,r,err_r,g,err_g,i,err_i,J,e_J,H,e_H,K,e_K,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,proba,Teff,e_Teff,Lbol,e_Lbol
1931,56.28417201,26.29253431,19.5,-44.1,2.0,2.0,11.968,0.135,11.246,0.116,11.286,0.1,,,,,9.947,0.026,9.509,0.03,9.443,0.018,AAA,9.437,0.023,9.482,0.02,9.353,0.035,8.939,0.494,0.991330821165189,5250.0,125.0,0.523958,0.09613176
1933,56.29058097,24.83926193,19.7,-45.5,0.8,0.8,5.561,0.014,5.636,0.009,,,,,,,5.741,0.019,5.842,0.034,5.812,0.023,AAA,5.811,0.052,5.751,0.024,5.603,0.015,3.431,0.025,0.99748824646033,9750.0,125.0,115.53818,18.428516
1949,56.31396592,25.28950179,17.4,-44.9,1.4,1.5,12.252,0.194,11.111,0.096,10.947,0.1,11.626,0.044,10.749,0.056,9.709,0.027,9.323,0.041,9.228,0.022,AAA,9.127,0.023,9.141,0.021,9.062,0.034,,,0.988114961366424,5250.0,125.0,0.6390623,0.11735815
1966,56.35052965,24.88598578,19.9,-43.8,1.2,1.2,10.286,0.039,9.676,0.034,9.55,0.008999999612569809,10.303,0.18,9.471,0.04,8.686,0.02,8.572,0.044,8.419,0.023,AAA,8.365,0.022,8.4,0.019,8.348,0.024,8.15,0.285,0.997002232588329,6250.0,125.0,2.0315268,0.34144798
1984,56.38327602,21.24668849,19.3,-48.0,0.9,0.8,7.977,0.017,7.784,0.012,8.984,0.0,9.86,0.047,8.043,0.18,7.389,0.018,7.327,0.02,7.31,0.026,AAA,7.257,0.031,7.284,0.021,7.286,0.017,7.211,0.116,0.99883597580974,8000.0,125.0,9.799466,1.6806165
2001,56.40744845,24.33561208,18.7,-45.9,1.0,0.9,7.373,0.016,7.195,0.011,,,,,,,6.715,0.027,6.629,0.036,6.627,0.024,AAA,6.526,0.042,6.576,0.019,6.536,0.02,6.218,0.076,0.992483044469154,7750.0,125.0,17.336128,2.883589
2017,56.42550055,24.9060041,20.3,-48.0,1.2,1.2,10.366,0.038,9.631,0.03,9.288,0.004000000189989805,,,9.164,0.055,8.286,0.019,8.04,0.044,7.939,0.036,AAA,7.852,0.023,7.895,0.02,7.871,0.02,7.831,0.229,0.869633396806854,5750.0,125.0,2.5690634,0.42857426
2038,56.47698571,24.55451092,19.9,-45.5,0.8,0.8,5.706,0.014,5.745,0.009,,,,,,,5.755,0.029,5.826,0.047,5.777,0.018,AAA,5.75,0.056,5.674,0.027,5.36,0.016,2.504,0.018,0.99807310848946,9750.0,125.0,105.32485,16.77944
2049,56.49641155,25.39858684,20.3,-45.8,1.1,1.0,8.303,0.017,8.063,0.014,8.806,-0.0,,,8.214,0.03,7.605,0.021,7.588,0.053,7.538,0.017,AAA,7.52,0.026,7.525,0.02,7.356,0.017,6.446,0.071,0.999504572609983,7500.0,125.0,7.28501,1.228115
2055,56.51208183,24.52789899,18.6,-43.5,0.9,0.9,6.401,0.015,6.418,0.01,,,,,,,6.399,0.026,6.484,0.042,6.433,0.024,AAA,6.447,0.036,6.451,0.022,5.84,0.015,3.632,0.021,0.996939693670195,10000.0,125.0,60.14816,9.531335
2068,56.53953337,26.13885743,14.5,-44.5,2.4,2.5,14.048,0.543,11.786,0.194,11.49,0.1,,,,,9.968,0.027,9.42,0.031,9.301,0.021,AAA,9.231,0.023,9.294,0.021,9.203,0.033,,,0.812830264051466,4500.0,125.0,0.39778402,0.07521806
2083,56.5666664,24.18990066,17.9,-41.0,1.1,1.0,8.482,0.018,8.129,0.015,8.979,0.0,9.658,0.048,8.214,0.093,7.294,0.026,7.179,0.026,7.115,0.023,AAA,7.031,0.03,7.08,0.02,6.95,0.019,6.584,0.089,0.934209217022877,6750.0,125.0,8.247458,1.379475
2101,56.61366698,24.25499549,22.0,-45.0,0.9,0.9,7.47,0.016,7.338,0.012,,,,,,,7.119,0.018,7.111,0.017,7.125,0.024,AAA,7.066,0.033,7.083,0.02,7.011,0.018,6.204,0.057,0.99620694388654,8500.0,125.0,15.806882,2.6116483
2102,56.61395781,25.13554734,20.0,-44.6,1.4,1.4,11.428,0.083,10.594,0.06,10.345,0.027000000700354576,10.885,0.038,10.21,0.045,9.366,0.018,9.063,0.017,8.993,0.015,AAA,8.929,0.023,8.964,0.02,8.979,0.036,,,0.996857312554627,5750.0,125.0,0.9758743,0.16894646
2116,56.64247954,23.6240228,16.8,-43.9,1.0,1.0,8.587,0.02,8.184,0.016,,,,,,,7.241,0.021,7.116,0.021,7.067,0.02,AAA,7.01,0.033,7.019,0.019,7.067,0.026,6.772,0.15,0.870855402994681,6500.0,125.0,7.9375677,1.3030968
