SOURCE_ID,RA,DEC,pmRA,pmDE,e_pmRA,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,r,err_r,g,err_g,i,err_i,J,e_J,H,e_H,K,e_K,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,proba,Teff,e_Teff,Lbol,e_Lbol
2547,57.58876279,23.09638118,20.6,-44.1,1.7,1.9,12.52,0.257,11.349,0.115,11.157,0.1,11.747,0.035,10.825,0.031,9.863,0.02,9.512,0.027,9.385,0.02,AAA,9.327,0.023,9.392,0.021,9.211,0.032,8.822,0.468,0.991758907769368,5250.0,125.0,0.53538,0.10053008
2548,57.58882221,27.14447154,19.6,-47.4,2.0,2.1,12.085,0.148,11.53,0.134,11.076,0.004999999888241291,,,,,9.836,0.022,9.448,0.019,9.356,0.018,AAA,9.331,0.023,9.388,0.022,9.338,0.037,8.97,0.478,0.990725996342213,5250.0,125.0,0.5396453,0.09675003
2622,57.7764023,25.59469638,20.8,-43.8,1.6,1.6,9.683,0.026,9.187,0.021,,,,,,,8.214,0.023,8.045,0.02,8.009,0.02,AAA,7.928,0.024,7.954,0.021,7.991,0.021,7.932,0.212,0.993435662436471,6500.0,125.0,3.2409294,0.52921796
2671,57.91852884,24.98318543,20.3,-45.5,1.8,1.8,11.731,0.086,11.005,0.076,10.613,0.1,,,,,9.535,0.021,9.219,0.015,9.137,0.022,AAA,9.062,0.023,9.096,0.02,9.073,0.04,,,0.993933407828369,5500.0,125.0,0.7709672,0.13329467
2709,57.98693023,23.90196874,20.3,-47.1,1.2,1.3,10.641,0.042,10.1,0.036,9.889,0.03099999949336052,10.379,0.009,9.746,0.017,8.983,0.02,8.711,0.023,8.632,0.017,AAA,8.594,0.022,8.623,0.019,8.641,0.027,,,0.999069548008411,6000.0,125.0,1.4995512,0.25569776
2710,57.9892476,25.99887824,19.0,-45.8,1.5,1.4,7.854,0.015,7.674,0.012,,,,,,,7.309,0.019,7.332,0.016,7.284,0.017,AAA,7.264,0.031,7.283,0.022,7.272,0.019,6.876,0.091,0.999097670309893,8250.0,125.0,11.148807,1.8477726
2826,58.22282293,24.71573206,17.3,-44.5,0.9,0.9,10.043,0.029,9.499,0.024,9.313,0.1,,,,,8.517,0.026,8.303,0.038,8.259,0.024,AAA,8.232,0.023,8.268,0.02,8.268,0.023,8.145,0.245,0.99351184772804,6250.0,125.0,2.3780746,0.4048473
2994,58.58994199,24.07569633,19.7,-46.0,0.9,1.0,10.317,0.034,9.7,0.029,9.574,0.1,10.148,0.111,9.464,0.042,8.687,0.021,8.48,0.034,8.424,0.021,AAA,8.37,0.023,8.395,0.019,8.368,0.022,8.062,0.232,0.999248191768865,6250.0,125.0,1.9914042,0.35226944
3192,59.01616448,22.22696659,22.1,-51.1,0.9,0.9,9.617,0.023,9.091,0.018,9.26,-0.0,,,10.636,1.544,8.161,0.024,8.006,0.026,7.986,0.026,AAA,7.951,0.022,7.986,0.02,7.966,0.018,7.501,0.117,0.966745146562418,6500.0,125.0,3.3392549,0.54726976
3210,59.04636406,22.22124978,21.2,-42.5,2.3,2.3,12.566,0.237,11.368,0.106,11.341,0.1,11.904,0.068,12.647,1.5,9.906,0.024,9.524,0.025,9.414,0.022,AAA,9.361,0.022,9.395,0.021,9.282,0.035,8.512,0.319,0.985678154081497,5250.0,125.0,0.5193065,0.09288445
3243,59.10916114,23.78431892,20.9,-42.6,1.6,1.7,12.292,0.182,11.335,0.099,11.035,0.1,11.675,0.011,10.84,0.036,9.846,0.026,9.505,0.027,9.394,0.02,AAA,9.304,0.023,9.355,0.019,9.294,0.037,,,0.975761564875364,5250.0,125.0,0.5521686,0.10171866
