ps,ps16,ps84,RA,Dec,err_RA,err_Dec,J_2,H_2,K_2,err_J,err_H,err_K
0.998021796613495,0.997661044267007,0.998194299388752,58.24642647551902,24.901503610376466,2.4054557E-7,2.4053892E-7,11.559864959716798,10.887999534606934,10.706999778747559,0.04001064772199569,0.02800000086426735,0.019999999552965164
0.997537731655334,0.995760337891767,0.9976995787139,57.857763732090085,24.794175849939634,2.1799634E-7,2.1799634E-7,12.055999755859375,11.454999923706055,11.196999549865723,0.02199999988079071,0.014999999664723873,0.023000000044703484
0.996466737499627,0.995912464827007,0.996757911114405,57.84958425433279,25.097901855278085,3.6406834E-7,3.6405336E-7,12.621000289916992,12.0,11.687264213562013,0.024000000208616257,0.014999999664723873,0.0600096580886218
0.996896135882159,0.9963140096609,0.997204724196711,58.554209145060575,23.347446147667974,1.2746148E-7,1.2746148E-7,12.620861015319825,12.053000450134277,11.73700595855713,0.040014478369983605,0.02199999988079071,0.060006502014698766
0.998054992003715,0.997769333917541,0.998218481120478,57.99508682155238,24.667837417695804,3.1291898E-7,3.1289485E-7,12.767749748229981,12.16100025177002,11.862146148681642,0.040017221444566896,0.01899999938905239,0.06000795694943896
0.996018234394221,0.995417346024315,0.996317172075435,59.20813072668607,19.930425546180484,2.7787027E-7,2.7787027E-7,12.838900527954102,12.281999588012695,11.954677352905275,0.04001492482037401,0.027000000700354576,0.06001049939095617
0.967346376846898,0.959429101463519,0.968833311598057,57.997145292217546,24.66634362749384,5.518241E-7,5.518241E-7,12.888675651550294,12.305000305175781,12.081999778747559,0.0400253563521817,0.014999999664723873,0.026000000536441803
0.998931413759498,0.998849795371836,0.999023337325757,58.00687026593376,25.024723245848563,2.9542818E-7,2.9541587E-7,13.421781539916992,12.849126281738283,12.579725990295412,0.050048001529550815,0.04002722458777922,0.0600151621718235
0.999480461036609,0.999438983772462,0.999526835493706,58.5936595169401,23.636679737348597,1.6192789E-7,1.6192585E-7,13.383082389831543,12.793285789489747,12.510035285949709,0.050053310611831055,0.04005287147851763,0.06001235851769051
0.999663723902741,0.999643822957054,0.999698224298802,58.6556617078329,23.225742621251868,1.446842E-7,1.446842E-7,13.41340160369873,12.799046936035158,12.519458541870119,0.050056495605585234,0.040034859157455076,0.060013904045694275
0.999282600960251,0.999206944569716,0.999329988430145,58.014946882452065,25.020408080792357,3.0232567E-7,3.023125E-7,13.77157974243164,13.23901081085205,12.913799057006838,0.0500674445756481,0.05003570399542399,0.060035733493956474
0.999292260845997,0.999225766153129,0.999344456901586,58.01098646746055,25.104103659733468,3.8425182E-7,3.8425182E-7,13.683576583862305,13.158293724060059,12.811599502563478,0.05006227217559841,0.05003221317655466,0.060018550009636684
0.913812215660364,0.901979935231372,0.922412980765386,58.46467599464553,23.625747244988055,1.1833212E-7,1.1833212E-7,13.98562240600586,13.437819480895996,13.122846603393555,0.05010032882701456,0.050058580417732035,0.05006282747854902
0.999060090653974,0.998932101472951,0.999156461485514,58.51134160469984,23.583638264945343,2.2795066E-7,2.2795066E-7,13.863245010375977,13.314215660095215,12.983915100097658,0.05008862440047134,0.05005108268148179,0.060026777146960524
0.999407908590199,0.999328590912935,0.999472520480525,58.1471755633156,25.017889863815846,3.1362538E-7,3.1362538E-7,13.589920043945312,13.034469604492188,12.696496734619142,0.05007501822486058,0.050037066044863805,0.060016850212629765
0.977040944254344,0.973131058474919,0.978402773988185,59.15086987203522,20.118606922470956,2.772422E-7,2.772422E-7,14.410415649414062,13.88754653930664,13.537162780761719,0.050131224759105975,0.050113133374968685,0.050078014496586325
0.972968268543249,0.967270861187825,0.976319293706772,58.17586892336122,25.178348775057366,5.9845695E-7,5.9845695E-7,14.525429725646973,13.956259727478027,13.609929084777832,0.05019742829447952,0.050120605689763155,0.05014731929695317
0.993801332892029,0.993455860423385,0.99448592803436,59.28584276779028,20.12856344869165,5.3164325E-7,5.3164325E-7,14.53742504119873,14.016541481018066,13.686456680297852,0.05015325769492369,0.05012028526461185,0.05015874284623138
0.995998395424023,0.995572297518498,0.9966525399572,58.233020348084715,24.96156976495159,2.770807E-7,2.770705E-7,15.108692169189453,14.53531265258789,14.152360916137695,0.05041937684156199,0.05026547737837198,0.050325127855402996
0.995320254489265,0.992961042365897,0.99625029945715,58.47966498658405,23.393374312312393,1.6627799E-7,1.6627799E-7,15.172272682189941,14.568666458129883,14.087770462036133,0.050399050809516434,0.05026724222320732,0.050287887884457864
0.861377206539889,0.823589306048854,0.863822325503738,59.12746174252354,23.037526773916806,1.9382533E-6,1.9325444E-6,9.835000038146973,9.428999900817871,9.343000411987305,0.024000000208616257,0.02199999988079071,0.017999999225139618
0.976723102921827,0.973664364435692,0.978078124383237,57.9802119577697,26.961117518733875,1.9382655E-6,1.93672E-6,12.137999534606934,11.496999740600586,11.286999702453613,0.02199999988079071,0.014999999664723873,0.023000000044703484
0.999621268241771,0.999527440251908,0.999640800368213,54.044847162958604,26.264459278869175,5.1286215E-6,5.0653903E-6,9.043000221252441,8.784000396728516,8.713000297546387,0.023000000044703484,0.026000000536441803,0.017999999225139618
0.999997406854987,0.999991092799625,0.999997530688781,56.24556059958738,22.032320684735698,1.3782313E-6,1.3761743E-6,8.520000457763672,8.348999977111816,8.277999877929688,0.017999999225139618,0.032999999821186066,0.01899999938905239
0.880091680664334,0.852591435464931,0.899442200041468,58.255498981949835,23.05685226769707,1.0565865E-6,1.0560236E-6,9.071999549865723,8.760000228881836,8.677000045776367,0.02199999988079071,0.024000000208616257,0.017999999225139618
